node_id,x_coord,y_coord
920,-111.9356951,33.4170451
921,-111.9356953,33.4171016
922,-111.9117875,33.421996
923,-111.9176467,33.422541
924,-111.9176562,33.4229467
925,-111.9117876,33.423152
926,-111.9169288,33.4232287
927,-111.9165171,33.423232
928,-111.9169309,33.4234075
929,-111.9165192,33.4234108
930,-111.9117891,33.4234657
931,-111.9169329,33.4235852
932,-111.9165212,33.4235885
933,-111.9156306,33.4237407
934,-111.9170914,33.4237413
935,-111.9169363,33.4237466
936,-111.9124546,33.4239973
937,-111.9169379,33.4240207
938,-111.9163183,33.424024
939,-111.9165262,33.424024
940,-111.9117929,33.4242758
941,-111.9124546,33.4242808
942,-111.9131147,33.424285
943,-111.9147151,33.4243939
944,-111.9117937,33.4244546
945,-111.9122136,33.424458
946,-111.9156154,33.4248834
947,-111.9131233,33.4253541
948,-111.9133007,33.425749
949,-111.9117838,33.4258353
950,-111.9131163,33.4258413
951,-111.9132494,33.4258419
952,-111.9133003,33.4258422
953,-111.9133476,33.4258424
954,-111.9140052,33.4258427
955,-111.9133063,33.4263059
956,-111.913461,33.4265717
957,-111.9155811,33.4270916
958,-111.9172314,33.4274175
959,-111.9119056,33.4231521
960,-111.9119459,33.4231967
961,-111.9119437,33.423464
962,-111.9148393,33.4236131
963,-111.914743,33.4247627
964,-111.914732,33.4252758
965,-111.9140687,33.4253625
966,-111.9147259,33.4256452
967,-111.9140658,33.4256778
968,-111.9140639,33.4257958
